source,target,best_lag,f_stat,p_value,effect,significant,target_is_ot,domain
Weekly East Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),OT,1,12.009133638154593,9.516139261334944e-08,0.9930892103361614,True,True,Energy
Weekly Lower Atlantic (PADD 1C) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),OT,1,10.89052252567749,4.64761915455981e-07,0.9899567608544664,True,True,Energy
Weekly Central Atlantic (PADD 1B) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),OT,1,6.587605408293679,0.00020457035597613204,0.9927477713489276,True,True,Energy
Weekly Midwest All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),OT,1,6.025544004878973,0.00045079517139457923,0.9932181339120825,True,True,Energy
Weekly Rocky Mountain All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),OT,1,4.032949835214806,0.0072379411176646995,0.9766701149467507,True,True,Energy
Weekly West Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),OT,1,2.938169697333039,0.03227992018149145,0.9543444368977276,True,True,Energy
Weekly Gulf Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),OT,1,2.749818758179416,0.041593854411236884,0.9863316724066682,True,True,Energy
OT,Weekly Lower Atlantic (PADD 1C) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),1,42.8106401508364,2.8427403682481895e-26,0.9887851713131115,True,False,Energy
Weekly Midwest All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Lower Atlantic (PADD 1C) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),1,42.25529101302108,5.997388733469593e-26,0.9897212104885453,True,False,Energy
Weekly Midwest All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Rocky Mountain All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),1,37.73917176135453,2.682855010943213e-23,0.978952851428556,True,False,Energy
OT,Weekly East Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),1,34.13613553322274,3.6408675509144564e-21,0.99395517335985,True,False,Energy
Weekly Midwest All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Gulf Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),1,33.39500842934513,1.0042254065760692e-20,0.9897060935351852,True,False,Energy
OT,Weekly Central Atlantic (PADD 1B) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),1,33.31134409277558,1.1261971764786555e-20,0.9953118363401365,True,False,Energy
Weekly Midwest All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly East Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),1,32.913040104907566,1.9441756747701583e-20,0.9914783207357966,True,False,Energy
OT,Weekly Rocky Mountain All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),1,32.598755826816316,2.992076905622592e-20,0.9857753630726552,True,False,Energy
Weekly Midwest All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Central Atlantic (PADD 1B) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),1,32.45125622968827,3.663429842845288e-20,0.9881064060008922,True,False,Energy
Weekly Gulf Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Lower Atlantic (PADD 1C) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),1,32.05097086084552,6.347529556747911e-20,0.9932525670505261,True,False,Energy
Weekly Midwest All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly New England (PADD 1A) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),1,27.955495977285395,1.8030754826520036e-17,0.9902256098657818,True,False,Energy
OT,Weekly Gulf Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),1,25.760484311519765,3.79361935101721e-16,0.9843026557434633,True,False,Energy
OT,Weekly New England (PADD 1A) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),1,25.63912606052058,4.491213525553647e-16,0.9939354828276129,True,False,Energy
Weekly Midwest All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly West Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),1,22.679157493810628,2.789432116809417e-14,0.934109908086066,True,False,Energy
OT,Weekly West Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),1,18.538941184628804,9.314919997944033e-12,0.9576316566683831,True,False,Energy
Weekly Gulf Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly East Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),1,18.430896529753962,1.0845777241741132e-11,0.9914533591911777,True,False,Energy
Weekly Gulf Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Central Atlantic (PADD 1B) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),1,18.272588159735662,1.3555116007330556e-11,0.9832796757972913,True,False,Energy
Weekly West Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Rocky Mountain All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),1,17.55913393893325,3.7052910024261553e-11,0.9611438417109222,True,False,Energy
Weekly Gulf Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly West Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),1,16.203919513863873,2.5092760520345403e-10,0.9081506251642276,True,False,Energy
Weekly Central Atlantic (PADD 1B) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Rocky Mountain All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),1,15.950668067633645,3.5887804145409135e-10,0.9782588171698806,True,False,Energy
Weekly Gulf Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Rocky Mountain All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),1,15.705773550080742,5.07296649717383e-10,0.966637896850393,True,False,Energy
Weekly Gulf Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly New England (PADD 1A) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),1,14.036536877668837,5.381306590571907e-09,0.9880482255602799,True,False,Energy
Weekly Rocky Mountain All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly West Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),1,13.7424284724152,8.161381872977264e-09,0.9562569708129937,True,False,Energy
Weekly East Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Rocky Mountain All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),1,12.276726298861,6.512053869205442e-08,0.9743109286353444,True,False,Energy
Weekly New England (PADD 1A) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Rocky Mountain All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),1,11.88565619923288,1.1336637308120615e-07,0.975070478544978,True,False,Energy
Weekly Lower Atlantic (PADD 1C) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly West Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),1,11.815629707173498,1.2519869637837175e-07,0.9215131100026903,True,False,Energy
Weekly Lower Atlantic (PADD 1C) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Rocky Mountain All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),1,10.42607082270014,8.978472879474728e-07,0.9676309492873029,True,False,Energy
Weekly East Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly West Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),1,10.366906160788416,9.764019576474829e-07,0.935811242314317,True,False,Energy
Weekly East Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Midwest All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),1,9.756248255268504,2.3202517978844405e-06,0.9869283063925214,True,False,Energy
Weekly West Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Lower Atlantic (PADD 1C) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),1,9.404506403319084,3.819345159966054e-06,0.91650610499043,True,False,Energy
Weekly New England (PADD 1A) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Central Atlantic (PADD 1B) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),1,8.439517294617394,1.497575479320598e-05,0.9941450146451248,True,False,Energy
Weekly Lower Atlantic (PADD 1C) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Midwest All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),1,8.228703276980292,2.0179446681913094e-05,0.9868784948446178,True,False,Energy
Weekly East Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly New England (PADD 1A) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),1,8.16635451741745,2.2039686211300182e-05,0.9958607495706825,True,False,Energy
Weekly Central Atlantic (PADD 1B) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly West Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),1,7.934113558741719,3.0606265343359994e-05,0.9517688412886305,True,False,Energy
Weekly West Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Central Atlantic (PADD 1B) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),1,7.925935792378944,3.096210627090879e-05,0.9513663305634654,True,False,Energy
Weekly Gulf Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Midwest All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),1,7.8396085249588365,3.497995578760168e-05,0.9877908343191664,True,False,Energy
OT,Weekly Midwest All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),1,7.721763101138324,4.1317760210230105e-05,0.9895627463984226,True,False,Energy
Weekly East Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Central Atlantic (PADD 1B) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),1,7.677654155779979,4.39743517404955e-05,0.9953266351262449,True,False,Energy
Weekly West Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly New England (PADD 1A) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),1,7.534947372541436,5.379412142391267e-05,0.9382668809053538,True,False,Energy
Weekly New England (PADD 1A) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Lower Atlantic (PADD 1C) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),1,7.528432038989949,5.429133035758208e-05,0.9867245708705283,True,False,Energy
Weekly Central Atlantic (PADD 1B) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Midwest All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),1,7.244033320197957,8.11094313576136e-05,0.9822085836258133,True,False,Energy
Weekly Lower Atlantic (PADD 1C) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly New England (PADD 1A) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),1,7.16207314259851,9.105133214645661e-05,0.991392369483828,True,False,Energy
Weekly West Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly East Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),1,6.986345323788345,0.00011665532701807148,0.9332415705824411,True,False,Energy
AGE 5-24,OT,1,91.1282185975162,4.359218035437311e-53,0.8045668335690922,True,True,Health_US
TOTAL PATIENTS,OT,2,40.363282141709774,7.680578208894145e-25,0.4123983937234135,True,True,Health_US
ILITOTAL,OT,1,30.275361053329746,7.308691487502869e-19,0.7572858831739409,True,True,Health_US
% WEIGHTED ILI,OT,1,21.55638935546911,1.3433200873179987e-13,0.9605093499150645,True,True,Health_US
WEEK,OT,1,12.892362461478474,2.721294496879465e-08,-0.09084671794547491,True,True,Health_US
YEAR,OT,1,12.82707344949311,2.985088310821605e-08,0.30927201233813084,True,True,Health_US
AGE 0-4,OT,1,9.793325468473416,2.201482106437552e-06,0.7282853615974644,True,True,Health_US
NUM. OF PROVIDERS,OT,1,7.908014351056215,3.1756436755644494e-05,0.45851172301854154,True,True,Health_US
AGE 65,OT,1,3.554297628139527,0.013969478188205809,0.6050087154247327,True,True,Health_US
AGE 5-24,AGE 0-4,1,122.5583670532502,3.583891770169008e-69,0.9260828750713934,True,False,Health_US
AGE 5-24,AGE 65,2,82.53471061842197,1.6399785833386747e-48,0.8768670824758473,True,False,Health_US
ILITOTAL,AGE 65,1,81.60642695448529,5.1746051269814846e-48,0.9460582747786549,True,False,Health_US
AGE 5-24,% WEIGHTED ILI,1,81.60171716496862,5.204890250378388e-48,0.7795633604235556,True,False,Health_US
AGE 0-4,AGE 65,2,79.74405535424556,5.22316182181277e-47,0.889301377630646,True,False,Health_US
AGE 65,AGE 0-4,1,71.42943232218416,1.7689885459852162e-42,0.8087176259175457,True,False,Health_US
TOTAL PATIENTS,AGE 65,3,60.773187664268015,1.4743500072401659e-36,0.7788386270034046,True,False,Health_US
% WEIGHTED ILI,AGE 65,1,53.623200090880694,1.6445230370867487e-32,0.6161091979304573,True,False,Health_US
OT,AGE 65,1,53.22103016843034,2.789416020040265e-32,0.6397902222483377,True,False,Health_US
TOTAL PATIENTS,ILITOTAL,2,49.87501401457425,2.3028771854364923e-30,0.7791701715651612,True,False,Health_US
AGE 0-4,AGE 5-24,1,43.72851570213917,8.292565236447564e-27,0.9318773078565474,True,False,Health_US
AGE 5-24,ILITOTAL,1,40.82071321688297,4.142363224112768e-25,0.9675477948040843,True,False,Health_US
ILITOTAL,AGE 0-4,1,38.663413844841564,7.657752555541588e-24,0.9283249968380848,True,False,Health_US
AGE 65,ILITOTAL,1,36.57233081227147,1.310710174536575e-22,0.9039962426679257,True,False,Health_US
