method,domain,horizon,mse,mae,trend_f1,event_consistency,avg_tokens
event_no_verifier,Energy,3,0.04217683116021315,0.1458953597013653,0.5346370463078849,0.4305424886579501,11.0
event_no_verifier,Energy,6,0.12800298089602305,0.24669021276751152,0.500450563204005,0.4305424886579501,11.0
event_no_verifier,Health_AFR,3,0.004940170789182966,0.05815486844628196,0.5148936170212766,0.43538569414531225,11.0
event_no_verifier,Health_AFR,6,0.0081375569841367,0.07590159665147496,0.505531914893617,0.43538569414531225,11.0
event_no_verifier,Health_US,3,1.507584640281153,0.8932520316244411,0.6042553191489362,0.4687105172310491,11.0
event_no_verifier,Health_US,6,2.869181987635992,1.2599384529611999,0.6289361702127659,0.4687105172310491,11.0
event_with_verifier,Energy,3,0.026554914017559626,0.1178487407834207,0.515613266583229,0.4305424886579501,11.0
event_with_verifier,Energy,6,0.08594151117594975,0.2045102640306326,0.5021151439299124,0.4305424886579501,11.0
event_with_verifier,Health_AFR,3,0.0037707351614277,0.05013130785557663,0.5063829787234042,0.43538569414531225,11.0
event_with_verifier,Health_AFR,6,0.005786924272859167,0.06223118347263817,0.48680851063829794,0.43538569414531225,11.0
event_with_verifier,Health_US,3,1.769809819721692,1.0126232007321214,0.6446808510638298,0.4687105172310491,11.0
event_with_verifier,Health_US,6,3.2976773731879674,1.3938594199787016,0.6578723404255319,0.4687105172310491,11.0
full_cents_feature,Energy,3,0.026554914017559626,0.1178487407834207,0.515613266583229,0.4305424886579501,11.0
full_cents_feature,Energy,6,0.08594151117594975,0.2045102640306326,0.5021151439299124,0.4305424886579501,11.0
full_cents_feature,Health_AFR,3,0.0037707351614277,0.05013130785557663,0.5063829787234042,0.43538569414531225,11.0
full_cents_feature,Health_AFR,6,0.005786924272859167,0.06223118347263817,0.48680851063829794,0.43538569414531225,11.0
full_cents_feature,Health_US,3,1.769809819721692,1.0126232007321214,0.6446808510638298,0.4687105172310491,11.0
full_cents_feature,Health_US,6,3.2976773731879674,1.3938594199787016,0.6578723404255319,0.4687105172310491,11.0
numerical_only,Energy,3,0.02089543886930545,0.10442774628816792,0.5409887359198998,0.0,0.0
numerical_only,Energy,6,0.06698331383317373,0.1883242242211936,0.514017521902378,0.0,0.0
numerical_only,Health_AFR,3,0.0026579936309314,0.0439279753741797,0.5361702127659574,0.0,0.0
numerical_only,Health_AFR,6,0.0045913376367904,0.0576867216117044,0.5259574468085106,0.0,0.0
numerical_only,Health_US,3,1.7155391782295488,0.9973995107621704,0.6446808510638298,0.0,0.0
numerical_only,Health_US,6,3.2100911176898648,1.3643743714781678,0.6604255319148936,0.0,0.0
persistence,Energy,3,0.011959626322884125,0.07352772163918438,0.008157283597441374,0.0,0.0
persistence,Energy,6,0.029212925572593203,0.11279062675586368,0.008186254921489425,0.0,0.0
persistence,Health_AFR,3,0.0107171106506118,0.053446541158974493,0.0336456558773424,0.0,0.0
persistence,Health_AFR,6,0.0145402103307399,0.0646927475721921,0.0324508966695132,0.0,0.0
persistence,Health_US,3,0.4007673122678217,0.36214742362294156,0.015332197614991402,0.0,0.0
persistence,Health_US,6,0.846096172240955,0.5462979610019926,0.015371477369769399,0.0,0.0
raw_text_embedding,Energy,3,0.04202777175410428,0.1558136804006905,0.5125156445556946,0.0,0.0
raw_text_embedding,Energy,6,0.13075542219890138,0.2670434693834696,0.51,0.0,0.0
raw_text_embedding,Health_AFR,3,0.0661034035175984,0.2004738132905413,0.4978723404255319,0.0,0.0
raw_text_embedding,Health_AFR,6,0.0622833046564735,0.19420550340789763,0.5004255319148936,0.0,0.0
raw_text_embedding,Health_US,3,3.047845566757315,1.2808216734710325,0.5085106382978724,0.0,0.0
raw_text_embedding,Health_US,6,6.476062950097169,1.9469706400105402,0.5174468085106383,0.0,0.0
