model,available_in_repo,torch_available,stage1_status,note
Autoformer,True,True,ready_for_wrapper,Torch is available; wrapper can run in next stage.
Crossformer,True,True,ready_for_wrapper,Torch is available; wrapper can run in next stage.
DLinear,True,True,ready_for_wrapper,Torch is available; wrapper can run in next stage.
ETSformer,True,True,ready_for_wrapper,Torch is available; wrapper can run in next stage.
FEDformer,True,True,ready_for_wrapper,Torch is available; wrapper can run in next stage.
FiLM,True,True,ready_for_wrapper,Torch is available; wrapper can run in next stage.
FreTS,True,True,ready_for_wrapper,Torch is available; wrapper can run in next stage.
Informer,True,True,ready_for_wrapper,Torch is available; wrapper can run in next stage.
Koopa,True,True,ready_for_wrapper,Torch is available; wrapper can run in next stage.
LightTS,True,True,ready_for_wrapper,Torch is available; wrapper can run in next stage.
MICN,True,True,ready_for_wrapper,Torch is available; wrapper can run in next stage.
Nonstationary_Transformer,True,True,ready_for_wrapper,Torch is available; wrapper can run in next stage.
PatchTST,True,True,ready_for_wrapper,Torch is available; wrapper can run in next stage.
Pyraformer,True,True,ready_for_wrapper,Torch is available; wrapper can run in next stage.
Reformer,True,True,ready_for_wrapper,Torch is available; wrapper can run in next stage.
SegRNN,True,True,ready_for_wrapper,Torch is available; wrapper can run in next stage.
TSMixer,True,True,ready_for_wrapper,Torch is available; wrapper can run in next stage.
TiDE,True,True,ready_for_wrapper,Torch is available; wrapper can run in next stage.
TimeMixer,True,True,ready_for_wrapper,Torch is available; wrapper can run in next stage.
TimesNet,True,True,ready_for_wrapper,Torch is available; wrapper can run in next stage.
Transformer,True,True,ready_for_wrapper,Torch is available; wrapper can run in next stage.
iTransformer,True,True,ready_for_wrapper,Torch is available; wrapper can run in next stage.
