seed,domain,method,source_model,horizon,original_mse,shuffled_text_mse,drop
2026,Energy,strong_event_with_verifier,TimesNet,3,0.033526474265681845,0.037961961792895245,0.0044354875272134
2026,Energy,strong_event_with_verifier,PatchTST,3,0.043424853792589015,0.043424853792589015,0.0
2026,Energy,strong_event_with_verifier,TimesNet,6,0.06503095914048697,0.06651651409656331,0.0014855549560763431
2026,Energy,strong_event_with_verifier,PatchTST,6,0.06919445740026345,0.06919445740026345,0.0
2027,Energy,strong_event_with_verifier,TimesNet,3,0.033577107063905,0.03400918926750373,0.00043208220359872845
2027,Energy,strong_event_with_verifier,PatchTST,3,0.052904147950394206,0.052904147950394206,0.0
2027,Energy,strong_event_with_verifier,TimesNet,6,0.06896086040761792,0.06507365216477143,-0.003887208242846496
2027,Energy,strong_event_with_verifier,PatchTST,6,0.06856164654826816,0.06856164654826816,0.0
2028,Energy,strong_event_with_verifier,TimesNet,3,0.040980826111078915,0.04093578595079328,-4.504016028563512e-05
2028,Energy,strong_event_with_verifier,PatchTST,3,0.05125809303145805,0.05125809303145805,0.0
2028,Energy,strong_event_with_verifier,TimesNet,6,0.06775687513009908,0.06735968295707202,-0.00039719217302705556
2028,Energy,strong_event_with_verifier,PatchTST,6,0.08047668916905794,0.08047668916905794,0.0
