seed,domain,method,source_model,horizon,history_length,epochs,batch_size,learning_rate,mse,mae,rmse,mape,trend_f1,nmse,smape,relative_improvement_over_persistence,n_features,train_time_sec,torch_device,best_val_scaled_mse,rank_mse_in_domain_horizon
2026,Energy,persistence,persistence,3,24,0,0,0.0,0.017129153191489357,0.08654326241134752,0.13087839085001526,0.025897484759542542,0.00851063829787234,0.03331838426051729,0.025930829411744974,0.0,,,,,
2026,Energy,persistence,persistence,6,24,0,0,0.0,0.04111711631205674,0.13313758865248226,0.20277355920350348,0.040151102105979004,0.00851063829787234,0.07995704327643918,0.04009952685986463,0.0,,,,,
2026,Health_US,persistence,persistence,3,24,0,0,0.0,0.5554883279924936,0.4356567319148936,0.7453108935152455,0.1536404246136935,0.0,0.21396243981201718,0.14616462923565307,0.0,,,,,
2026,Health_US,persistence,persistence,6,24,0,0,0.0,1.1235170939061065,0.6420564851063829,1.0599608926305284,0.24873612181543595,0.0,0.43237304576434826,0.22296672941106174,0.0,,,,,
2026,Health_AFR,persistence,persistence,3,24,0,0,0.0,0.0009834025555348334,0.020141317339314534,0.03135924991983758,0.3788524193847773,0.01276595744680851,0.3012872446537146,0.3488978832959042,0.0,,,,,
2026,Health_AFR,persistence,persistence,6,24,0,0,0.0,0.0016243382623671522,0.026582376858311094,0.04030308006055061,0.5345405845636619,0.01276595744680851,0.4769571542444298,0.42805302695932396,0.0,,,,,
2027,Energy,persistence,persistence,3,24,0,0,0.0,0.017129153191489357,0.08654326241134752,0.13087839085001526,0.025897484759542542,0.00851063829787234,0.03331838426051729,0.025930829411744974,0.0,,,,,
2027,Energy,persistence,persistence,6,24,0,0,0.0,0.04111711631205674,0.13313758865248226,0.20277355920350348,0.040151102105979004,0.00851063829787234,0.07995704327643918,0.04009952685986463,0.0,,,,,
2027,Health_US,persistence,persistence,3,24,0,0,0.0,0.5554883279924936,0.4356567319148936,0.7453108935152455,0.1536404246136935,0.0,0.21396243981201718,0.14616462923565307,0.0,,,,,
2027,Health_US,persistence,persistence,6,24,0,0,0.0,1.1235170939061065,0.6420564851063829,1.0599608926305284,0.24873612181543595,0.0,0.43237304576434826,0.22296672941106174,0.0,,,,,
2027,Health_AFR,persistence,persistence,3,24,0,0,0.0,0.0009834025555348334,0.020141317339314534,0.03135924991983758,0.3788524193847773,0.01276595744680851,0.3012872446537146,0.3488978832959042,0.0,,,,,
2027,Health_AFR,persistence,persistence,6,24,0,0,0.0,0.0016243382623671522,0.026582376858311094,0.04030308006055061,0.5345405845636619,0.01276595744680851,0.4769571542444298,0.42805302695932396,0.0,,,,,
2028,Energy,persistence,persistence,3,24,0,0,0.0,0.017129153191489357,0.08654326241134752,0.13087839085001526,0.025897484759542542,0.00851063829787234,0.03331838426051729,0.025930829411744974,0.0,,,,,
2028,Energy,persistence,persistence,6,24,0,0,0.0,0.04111711631205674,0.13313758865248226,0.20277355920350348,0.040151102105979004,0.00851063829787234,0.07995704327643918,0.04009952685986463,0.0,,,,,
2028,Health_US,persistence,persistence,3,24,0,0,0.0,0.5554883279924936,0.4356567319148936,0.7453108935152455,0.1536404246136935,0.0,0.21396243981201718,0.14616462923565307,0.0,,,,,
2028,Health_US,persistence,persistence,6,24,0,0,0.0,1.1235170939061065,0.6420564851063829,1.0599608926305284,0.24873612181543595,0.0,0.43237304576434826,0.22296672941106174,0.0,,,,,
2028,Health_AFR,persistence,persistence,3,24,0,0,0.0,0.0009834025555348334,0.020141317339314534,0.03135924991983758,0.3788524193847773,0.01276595744680851,0.3012872446537146,0.3488978832959042,0.0,,,,,
2028,Health_AFR,persistence,persistence,6,24,0,0,0.0,0.0016243382623671522,0.026582376858311094,0.04030308006055061,0.5345405845636619,0.01276595744680851,0.4769571542444298,0.42805302695932396,0.0,,,,,
2026,Energy,strong_numerical_only,TimesNet,3,24,3,64,0.001,0.03011334812063859,0.1197268323695406,0.1735319801092542,0.036312280384837636,0.5553191489361702,0.05857429194585431,0.03640098124742508,-0.7580173277684532,9.0,0.7043464183807373,cpu,0.019882187247276306,1.0
2026,Energy,strong_numerical_only,PatchTST,3,24,3,64,0.001,0.0436909683254558,0.1514672262448791,0.20902384630815643,0.046254025112331947,0.5106382978723404,0.08498449006201211,0.04636533558368683,-1.5506788244011802,9.0,0.395916223526001,cpu,0.030959229916334152,12.0
2026,Energy,strong_raw_text_fusion,TimesNet,3,24,3,64,0.001,0.045797226042423936,0.15210892410143048,0.21400286456593037,0.047040447252623636,0.4978723404255319,0.08908142919786148,0.0470956526696682,-1.6736421544281799,25.0,0.6280527114868164,cpu,0.030555779114365578,14.0
