dataset,timepoints,start,end,numeric_variables,target,text_coverage,effective_text_rows,forecast_windows
Agriculture,532,1980-01-01,2024-04-01,3,OT,1.0,532,506
Climate,1272,2000-01-04,2024-05-14,8,OT,1.0,1272,1246
Economy,447,1987-01-01,2024-03-01,3,OT,1.0,447,421
Energy,1622,1993-04-05,2024-04-29,9,OT,1.0,1622,1596
Environment,15979,1980-01-01,2023-09-30,3,OT,1.0,15979,15953
Health_AFR,1461,1996-01-01,2024-04-29,1,OT,1.0,1461,1435
Health_US,1389,1997-09-29,2024-05-06,10,OT,1.0,1389,1363
Security,309,1998-09-01,2024-05-01,1,OT,1.0,309,283
SocialGood,924,1948-01-01,2024-12-01,1,OT,1.0,924,898
Traffic,651,1970-01-01,2024-03-01,1,OT,1.0,651,625
