Method,runtime_sec,run_id
M0_Numerical-only,0.07750463485717773,Energy_M0_Numerical-only_PatchTST_H3_S2024_754ba2fd
M0_Numerical-only,0.06685328483581543,Energy_M0_Numerical-only_PatchTST_H3_S2025_215a0a3b
M0_Numerical-only,0.07051301002502441,Energy_M0_Numerical-only_PatchTST_H3_S2026_e4487c68
M1_TaTS-Raw-Text,0.10851430892944336,Energy_M1_TaTS-Raw-Text_PatchTST_H3_S2024_88e66259
M1_TaTS-Raw-Text,0.11617302894592285,Energy_M1_TaTS-Raw-Text_PatchTST_H3_S2025_63051732
M1_TaTS-Raw-Text,0.1172018051147461,Energy_M1_TaTS-Raw-Text_PatchTST_H3_S2026_db9e0d6b
M2_Event-TaTS,0.1465928554534912,Energy_M2_Event-TaTS_PatchTST_H3_S2024_5cc6dba5
M2_Event-TaTS,0.11185455322265625,Energy_M2_Event-TaTS_PatchTST_H3_S2025_85d2c0ee
M2_Event-TaTS,0.11850118637084961,Energy_M2_Event-TaTS_PatchTST_H3_S2026_92b34478
M3_Causal-Event-TaTS,0.12540245056152344,Energy_M3_Causal-Event-TaTS_PatchTST_H3_S2024_f8829a97
M3_Causal-Event-TaTS,0.12579631805419922,Energy_M3_Causal-Event-TaTS_PatchTST_H3_S2025_c76f05fa
M3_Causal-Event-TaTS,0.11626243591308594,Energy_M3_Causal-Event-TaTS_PatchTST_H3_S2026_cdf8a155
M4_Cycle-Verified-CEN-TaTS,0.1150369644165039,Energy_M4_Cycle-Verified-CEN-TaTS_PatchTST_H3_S2024_51b9d758
M4_Cycle-Verified-CEN-TaTS,0.12224006652832031,Energy_M4_Cycle-Verified-CEN-TaTS_PatchTST_H3_S2025_d532c973
M4_Cycle-Verified-CEN-TaTS,0.11857008934020996,Energy_M4_Cycle-Verified-CEN-TaTS_PatchTST_H3_S2026_66617b03
M5_APO-CEN-TaTS,0.1297159194946289,Energy_M5_APO-CEN-TaTS_PatchTST_H3_S2024_22acb996
M5_APO-CEN-TaTS,0.10051512718200684,Energy_M5_APO-CEN-TaTS_PatchTST_H3_S2025_0b9f166c
M5_APO-CEN-TaTS,0.11657166481018066,Energy_M5_APO-CEN-TaTS_PatchTST_H3_S2026_0011a326
A1_Zero-text-TaTS,0.10607576370239258,Energy_A1_Zero-text-TaTS_PatchTST_H3_S2024_8aa6cb61
A2_Shuffled-raw-text,0.11414241790771484,Energy_A2_Shuffled-raw-text_PatchTST_H3_S2024_66a958e8
A3_Shuffled-event-time,0.11954116821289062,Energy_A3_Shuffled-event-time_PatchTST_H3_S2024_14c1a9ef
A4_Random-causal-graph,0.1125190258026123,Energy_A4_Random-causal-graph_PatchTST_H3_S2024_09dafdb7
A5_Teacher-only-graph,0.11751317977905273,Energy_A5_Teacher-only-graph_PatchTST_H3_S2024_4b0e0f2a
A6_Verifier-without-inverse-event,0.1132211685180664,Energy_A6_Verifier-without-inverse-event_PatchTST_H3_S2024_65df633f
A7_Verifier-without-lag-aware-mask,0.1448047161102295,Energy_A7_Verifier-without-lag-aware-mask_PatchTST_H3_S2024_7f0397cc
A8_Random-verifier,0.11104416847229004,Energy_A8_Random-verifier_PatchTST_H3_S2024_049f1759
A9_Shuffled-inverse-event,0.1167910099029541,Energy_A9_Shuffled-inverse-event_PatchTST_H3_S2024_88b22ad4
A10_APO-without-forecast-feedback,0.12665987014770508,Energy_A10_APO-without-forecast-feedback_PatchTST_H3_S2024_a3cf9cdf
A11_APO-without-event-feedback,0.12254977226257324,Energy_A11_APO-without-event-feedback_PatchTST_H3_S2024_38c70b46
A12_Manual-vs-APO-prompt,0.12452220916748047,Energy_A12_Manual-vs-APO-prompt_PatchTST_H3_S2024_a2b37e96
