anchor,mse
12222,1169.2158203125
12223,1149.1009521484375
12224,1215.78466796875
12225,1135.73681640625
12226,1181.7884521484375
12227,1171.8404541015625
12228,1187.90380859375
12229,1021.3875122070312
12230,1040.59619140625
12231,1148.5670166015625
12232,1220.5328369140625
12233,1316.7972412109375
12234,1087.9388427734375
12235,942.51171875
12236,988.6658325195312
12237,961.255615234375
12238,974.5302734375
12239,969.9690551757812
12240,1010.945556640625
12241,1094.9068603515625
12242,1069.3369140625
12243,1176.1435546875
12244,1021.9087524414062
12245,989.40625
12246,998.7099609375
12247,985.6209106445312
12248,1000.0010375976562
12249,1093.1650390625
12250,1218.62744140625
12251,1328.711181640625
12252,1180.841796875
12253,1103.2335205078125
12254,1127.923828125
12255,1122.67041015625
12256,1156.51708984375
12257,1068.67333984375
12258,1122.8992919921875
12259,1158.27880859375
12260,1180.7171630859375
12261,1143.3858642578125
12262,1046.8603515625
12263,1030.6611328125
12264,1213.0040283203125
12265,1439.3975830078125
12266,1377.4560546875
12267,1386.9036865234375
12268,1460.7679443359375
12269,1530.525390625
12270,1430.8245849609375
12271,1427.4989013671875
12272,1466.3814697265625
12273,1521.2784423828125
12274,1446.4788818359375
12275,1426.3109130859375
12276,1422.3179931640625
12277,1414.1295166015625
12278,1526.70654296875
12279,1493.5191650390625
12280,1493.74609375
12281,1568.8291015625
12282,1590.67822265625
12283,1552.6416015625
12284,1550.87890625
12285,1501.5750732421875
12286,1448.16748046875
12287,1417.7706298828125
12288,1407.3505859375
12289,1455.36083984375
12290,1346.7720947265625
12291,1343.9703369140625
12292,1321.2213134765625
12293,1337.1131591796875
12294,1382.8675537109375
12295,1469.5772705078125
12296,1558.9586181640625
12297,1694.4605712890625
12298,2216.735107421875
12299,2141.041259765625
12300,2001.0013427734375
12301,2148.545654296875
12302,2291.7490234375
12303,2544.602783203125
12304,2104.869873046875
12305,1851.9432373046875
12306,1667.9390869140625
12307,1481.51953125
12308,1457.2677001953125
12309,1303.3382568359375
12310,1351.6903076171875
12311,1468.9351806640625
12312,1637.6602783203125
12313,1863.94775390625
12314,1518.1483154296875
12315,1297.0845947265625
12316,1278.8870849609375
12317,922.509521484375
12318,826.7756958007812
12319,722.7088012695312
12320,661.601806640625
12321,528.8822631835938
12322,352.9783020019531
12323,336.2676086425781
12324,354.9673767089844
12325,303.8498229980469
12326,255.2579345703125
12327,220.5115203857422
12328,207.5421600341797
12329,186.60833740234375
12330,185.79017639160156
12331,181.161865234375
12332,193.28204345703125
12333,178.3596649169922
12334,200.7874298095703
12335,268.1408386230469
12336,271.1470031738281
12337,248.23524475097656
12338,268.7760009765625
12339,288.7689514160156
12340,291.1771545410156
12341,272.7291564941406
12342,304.249755859375
12343,335.2134094238281
12344,244.8435516357422
12345,359.398681640625
12346,336.6746520996094
12347,348.5116271972656
12348,386.2181091308594
12349,454.8086853027344
12350,531.4015502929688
12351,483.3507080078125
12352,483.6915588378906
12353,517.1328125
12354,530.9407348632812
12355,381.1879577636719
12356,487.867431640625
12357,454.34423828125
12358,435.5890197753906
12359,387.859619140625
12360,377.0191345214844
12361,318.19500732421875
12362,303.5904846191406
12363,330.2188415527344
12364,335.9707336425781
12365,278.6553955078125
12366,281.6517639160156
12367,282.5312194824219
12368,289.3027038574219
12369,307.8956604003906
12370,345.7449951171875
12371,371.444580078125
12372,367.7520446777344
12373,375.6620178222656
