anchor,mse
12222,1093.33203125
12223,1167.614501953125
12224,1278.9737548828125
12225,1108.9569091796875
12226,1177.7156982421875
12227,1298.4075927734375
12228,1231.97314453125
12229,1054.3358154296875
12230,1040.5950927734375
12231,1220.1505126953125
12232,1334.0782470703125
12233,1345.4996337890625
12234,1164.5477294921875
12235,1008.0313110351562
12236,1177.7633056640625
12237,1309.0750732421875
12238,1180.3388671875
12239,1145.9273681640625
12240,1219.6490478515625
12241,1088.2313232421875
12242,1153.0338134765625
12243,1090.7784423828125
12244,918.3678588867188
12245,938.158203125
12246,937.0978393554688
12247,942.9541015625
12248,1094.4088134765625
12249,1176.2056884765625
12250,1221.5277099609375
12251,1302.2093505859375
12252,1170.2767333984375
12253,1055.5950927734375
12254,1037.8974609375
12255,1047.9678955078125
12256,1094.0029296875
12257,1034.8138427734375
12258,1003.3058471679688
12259,992.9231567382812
12260,1030.3773193359375
12261,1021.64697265625
12262,1126.42919921875
12263,1021.884033203125
12264,1116.3485107421875
12265,1222.076171875
12266,1172.2669677734375
12267,1218.298828125
12268,1319.4324951171875
12269,1428.5091552734375
12270,1338.8609619140625
12271,1377.86572265625
12272,1407.8140869140625
12273,1430.3909912109375
12274,1406.7703857421875
12275,1389.95703125
12276,1441.0211181640625
12277,1588.9349365234375
12278,1598.3106689453125
12279,1449.8551025390625
12280,1372.57568359375
12281,1503.2386474609375
12282,1467.6431884765625
12283,1319.0435791015625
12284,1323.7257080078125
12285,1366.7777099609375
12286,1553.6695556640625
12287,1514.5946044921875
12288,1386.4267578125
12289,1453.8505859375
12290,1363.9637451171875
12291,1357.149658203125
12292,1389.3492431640625
12293,1388.56494140625
12294,1436.4295654296875
12295,1568.72900390625
12296,1839.7279052734375
12297,2146.141845703125
12298,2971.085205078125
12299,2577.102783203125
12300,2495.160400390625
12301,2590.765625
12302,2728.652587890625
12303,2700.1875
12304,1991.4285888671875
12305,2085.565673828125
12306,1960.7479248046875
12307,1871.884765625
12308,1642.5576171875
12309,1497.1923828125
12310,1550.9678955078125
12311,1665.6124267578125
12312,2087.55322265625
12313,2260.726318359375
12314,1943.1724853515625
12315,1742.3612060546875
12316,1527.2454833984375
12317,1262.7452392578125
12318,996.9719848632812
12319,832.2234497070312
12320,622.2044677734375
12321,453.5660095214844
12322,379.1822814941406
12323,348.489990234375
12324,363.3484191894531
12325,247.5172576904297
12326,243.09234619140625
12327,186.70947265625
12328,165.67529296875
12329,176.5530242919922
12330,204.6412353515625
12331,184.3035125732422
12332,214.72265625
12333,234.6702423095703
12334,296.2027587890625
12335,316.3121337890625
12336,303.82562255859375
12337,258.9378356933594
12338,262.2984924316406
12339,289.5175476074219
12340,288.2096862792969
12341,288.6936340332031
12342,308.095458984375
12343,341.5346984863281
12344,280.8803405761719
12345,352.097412109375
12346,340.4391174316406
12347,394.1972961425781
12348,421.1259460449219
12349,484.6107482910156
12350,548.263671875
12351,535.2724609375
12352,536.5825805664062
12353,579.689697265625
12354,617.1705932617188
12355,499.0276794433594
12356,590.04150390625
12357,547.2885131835938
12358,493.9029235839844
12359,445.2274169921875
12360,443.9172058105469
12361,387.869384765625
12362,372.6044616699219
12363,372.9405822753906
12364,384.2266845703125
12365,339.0703430175781
12366,342.1844177246094
12367,293.0910339355469
12368,347.8628845214844
12369,351.0140380859375
12370,375.3135681152344
12371,373.1190185546875
12372,387.0751037597656
12373,381.619140625
12374,386.7784729003906
12375,419.6517639160156
12376,488.8754577636719
12377,505.1622619628906
12378,561.7391967773438
12379,550.927734375
12380,526.0648803710938
12381,478.2427673339844
12382,488.807373046875
12383,500.0295104980469
12384,617.7040405273438
12385,604.7853393554688
12386,523.5247192382812
12387,564.0147094726562
12388,503.0350036621094
12389,537.1073608398438
12390,527.1049194335938
12391,465.92138671875
12392,385.0726318359375
12393,362.9300231933594
12394,367.0602722167969
12395,324.3325500488281
12396,327.2120056152344
12397,328.2703857421875
12398,327.3675537109375
12399,409.6044006347656
12400,380.5202941894531
12401,306.3786315917969
12402,295.6964111328125
12403,299.2048645019531
12404,275.9554748535156
12405,266.656982421875
12406,266.7039794921875
12407,269.9202575683594
12408,262.0617980957031
12409,264.194091796875
12410,258.3000183105469
12411,282.8675231933594
12412,280.4114074707031
12413,274.070556640625
12414,282.3225402832031
12415,328.2938537597656
12416,331.6045227050781
12417,389.10107421875
12418,356.848876953125
12419,339.3583679199219
12420,305.91571044921875
12421,345.4987487792969
12422,335.8512268066406
12423,282.6196594238281
12424,194.44700622558594
12425,203.2722930908203
12426,216.8249969482422
12427,221.65513610839844
12428,235.02024841308594
12429,241.2481689453125
12430,247.3867645263672
12431,252.0778045654297
12432,296.5842590332031
12433,228.6314697265625
12434,221.8994140625
12435,228.3367462158203
12436,237.6725311279297
12437,266.1927795410156
12438,342.2364501953125
12439,349.0933532714844
12440,361.6285400390625
12441,358.1668395996094
12442,314.2729187011719
12443,311.4893798828125
12444,339.65826416015625
12445,328.13336181640625
12446,313.0321350097656
12447,299.3872985839844
12448,316.3209533691406
12449,361.2298889160156
12450,364.3720397949219
12451,348.1991271972656
12452,301.5722351074219
12453,283.23388671875
12454,275.1670837402344
12455,283.4946594238281
12456,272.8191833496094
12457,284.9555358886719
12458,305.9550476074219
12459,256.2887268066406
12460,262.9319763183594
12461,261.61822509765625
12462,259.8794250488281
12463,271.99725341796875
12464,270.8633728027344
12465,256.8579406738281
12466,255.6697235107422
12467,254.94020080566406
12468,250.031982421875
12469,242.77044677734375
12470,244.49195861816406
12471,237.3961639404297
12472,230.5047149658203
12473,229.1744384765625
12474,238.05345153808594
12475,217.1549530029297
12476,208.46763610839844
12477,197.65966796875
12478,225.50799560546875
12479,226.8937530517578
12480,229.5865478515625
12481,228.7387237548828
12482,302.6610107421875
12483,287.5154724121094
12484,232.2031707763672
12485,213.36045837402344
12486,251.9185791015625
12487,245.51670837402344
12488,202.3250732421875
12489,191.3518524169922
12490,206.67926025390625
12491,158.1886444091797
12492,159.32728576660156
12493,153.8029327392578
12494,158.17173767089844
12495,177.67218017578125
12496,174.9783172607422
12497,150.2159423828125
12498,158.9391632080078
12499,163.89529418945312
12500,148.9419403076172
12501,145.93690490722656
12502,188.59169006347656
12503,228.8072967529297
12504,219.61146545410156
12505,226.40655517578125
12506,213.7443389892578
12507,223.84388732910156
12508,239.1177215576172
12509,252.4384765625
12510,240.3157196044922
12511,226.2271728515625
12512,218.3157196044922
12513,223.0232696533203
12514,211.75164794921875
12515,490.72607421875
12516,732.1472778320312
12517,854.87548828125
12518,980.3173217773438
12519,1032.4222412109375
12520,1005.5010375976562
12521,1061.8038330078125
12522,1151.9703369140625
12523,1176.9407958984375
12524,1176.4803466796875
12525,1131.4774169921875
12526,1051.7554931640625
12527,1075.4366455078125
12528,1172.030029296875
12529,1113.6973876953125
12530,1052.4127197265625
12531,1125.5767822265625
12532,1159.9998779296875
12533,1035.155517578125
12534,1061.689453125
12535,1036.8260498046875
12536,1078.3924560546875
12537,1213.443115234375
12538,1206.2864990234375
12539,1315.8492431640625
12540,1476.83984375
12541,1636.3856201171875
12542,1804.0859375
12543,1944.8236083984375
12544,1994.52783203125
12545,2165.131103515625
12546,2261.108642578125
12547,2361.721923828125
12548,2436.5146484375
12549,2446.981689453125
12550,2067.69921875
12551,2215.5634765625
12552,2329.947265625
12553,2456.106689453125
12554,2276.4755859375
12555,2189.6396484375
12556,2168.312255859375
12557,2241.66552734375
12558,2213.283447265625
12559,2308.511962890625
12560,2356.924560546875
12561,2134.349853515625
12562,2052.828369140625
12563,1194.2200927734375
12564,1018.35107421875
12565,933.27197265625
12566,870.8790893554688
12567,893.7156372070312
12568,1026.4361572265625
12569,912.114013671875
12570,782.6305541992188
12571,824.2315063476562
12572,892.8141479492188
12573,1051.5008544921875
12574,1051.9681396484375
12575,1006.4561157226562
12576,1036.7037353515625
12577,892.080078125
12578,906.8992309570312
12579,954.60986328125
12580,1036.9945068359375
12581,1046.649658203125
12582,1053.0838623046875
12583,1178.7474365234375
12584,1011.4249877929688
12585,979.4281616210938
12586,1155.00537109375
12587,946.4945678710938
12588,834.359375
12589,912.0916137695312
12590,885.881103515625
12591,889.865966796875
12592,941.83837890625
12593,955.693359375
12594,1007.3396606445312
12595,1064.5479736328125
12596,1093.7271728515625
12597,967.83056640625
12598,978.9151000976562
12599,852.351806640625
12600,791.277099609375
12601,791.6033325195312
12602,741.9990844726562
12603,781.4352416992188
12604,815.662109375
12605,743.408203125
12606,736.0470581054688
12607,752.5983276367188
12608,705.4535522460938
12609,717.6535034179688
12610,679.567626953125
12611,536.9381713867188
12612,597.652099609375
12613,705.1328125
12614,495.7035217285156
12615,547.9928588867188
12616,555.7422485351562
12617,611.3526000976562
12618,565.4292602539062
12619,620.9962768554688
12620,630.2950439453125
12621,666.2046508789062
12622,563.6913452148438
12623,601.472900390625
12624,626.06591796875
12625,613.5857543945312
12626,639.9502563476562
12627,658.4984741210938
12628,868.2293090820312
