anchor,mse
12222,1004.6088256835938
12223,1032.444091796875
12224,1108.96826171875
12225,1023.750732421875
12226,1062.77978515625
12227,1066.5455322265625
12228,1112.1748046875
12229,969.4678344726562
12230,948.662841796875
12231,1133.432861328125
12232,1366.4573974609375
12233,1426.7935791015625
12234,1188.6151123046875
12235,1010.8992309570312
12236,1134.1632080078125
12237,1240.5916748046875
12238,1047.81005859375
12239,1042.7100830078125
12240,1112.189697265625
12241,1061.6514892578125
12242,1069.857177734375
12243,1067.4638671875
12244,909.834716796875
12245,918.669921875
12246,949.3513793945312
12247,969.28173828125
12248,1071.11181640625
12249,1162.487060546875
12250,1198.86669921875
12251,1241.11669921875
12252,1098.11279296875
12253,1104.7706298828125
12254,1112.30029296875
12255,1188.340576171875
12256,1249.7862548828125
12257,1127.4073486328125
12258,1081.3638916015625
12259,1048.5667724609375
12260,1066.1036376953125
12261,1068.609619140625
12262,1184.0960693359375
12263,1040.2115478515625
12264,1167.5048828125
12265,1273.2054443359375
12266,1231.455810546875
12267,1278.5025634765625
12268,1393.0133056640625
12269,1480.2431640625
12270,1405.6630859375
12271,1440.1793212890625
12272,1439.2376708984375
12273,1454.3197021484375
12274,1441.20166015625
12275,1333.6700439453125
12276,1420.5118408203125
12277,1550.9873046875
12278,1495.892578125
12279,1414.6043701171875
12280,1356.3681640625
12281,1462.86083984375
12282,1462.5677490234375
12283,1315.1907958984375
12284,1288.9244384765625
12285,1302.3275146484375
12286,1499.6373291015625
12287,1458.04296875
12288,1437.9979248046875
12289,1479.9613037109375
12290,1389.4150390625
12291,1453.9029541015625
12292,1401.8564453125
12293,1493.8037109375
12294,1565.041015625
12295,1615.8504638671875
12296,1698.4437255859375
12297,1836.4224853515625
12298,2283.29248046875
12299,1949.1212158203125
12300,1849.6153564453125
12301,2154.12109375
12302,2389.875732421875
12303,2595.690673828125
12304,2149.249267578125
12305,2057.469482421875
12306,1726.5640869140625
12307,1543.748046875
12308,1427.2109375
12309,1304.9339599609375
12310,1322.2598876953125
12311,1424.46337890625
12312,1802.0625
12313,1992.8280029296875
12314,1399.322265625
12315,1087.4251708984375
12316,1007.9451293945312
12317,754.658203125
12318,647.5516967773438
12319,542.196533203125
12320,488.064697265625
12321,405.5101013183594
12322,334.8332824707031
12323,312.9091491699219
12324,305.38470458984375
12325,255.9598388671875
12326,246.8275146484375
12327,194.83551025390625
12328,174.2965087890625
12329,210.2586669921875
12330,218.32106018066406
12331,220.3268585205078
12332,231.74440002441406
12333,257.7963562011719
12334,301.3493347167969
12335,320.4335021972656
12336,298.8609924316406
12337,254.72288513183594
12338,265.6357421875
12339,296.7065734863281
12340,293.1089782714844
12341,291.5171813964844
12342,311.8398742675781
12343,338.0838317871094
12344,279.6065368652344
12345,353.0033264160156
12346,314.943359375
12347,345.697021484375
12348,366.5340881347656
12349,428.5396423339844
12350,493.9864196777344
12351,494.7220764160156
12352,518.8123168945312
12353,524.9776000976562
12354,570.0070190429688
12355,466.5936584472656
12356,512.4669189453125
12357,486.9559020996094
12358,436.09716796875
12359,385.3564453125
12360,369.954833984375
12361,333.1833801269531
12362,328.0464782714844
12363,318.26251220703125
12364,329.6080322265625
12365,277.9767761230469
12366,279.9681701660156
12367,279.25982666015625
12368,299.5191955566406
12369,309.0351257324219
12370,326.6185607910156
12371,329.9679870605469
12372,339.7021789550781
12373,337.1365966796875
12374,361.8147888183594
12375,389.9210510253906
12376,469.7682800292969
12377,518.1143798828125
12378,564.1728515625
12379,565.2161254882812
12380,547.3097534179688
12381,487.2547607421875
12382,466.5636291503906
12383,467.6973876953125
12384,583.0827026367188
12385,579.1215209960938
12386,488.2662658691406
12387,537.53369140625
12388,495.9502258300781
12389,529.9930419921875
12390,526.6245727539062
12391,462.2880554199219
12392,389.069580078125
12393,347.213134765625
12394,352.1087341308594
12395,314.65179443359375
12396,325.6036071777344
12397,316.31817626953125
12398,302.2757873535156
12399,358.4093322753906
12400,346.5040283203125
12401,296.8995056152344
12402,289.3356018066406
12403,288.7506103515625
12404,274.7740173339844
12405,257.6163635253906
12406,267.7771301269531
12407,285.9228210449219
12408,279.96075439453125
12409,280.2153625488281
12410,286.1253662109375
12411,302.7458801269531
12412,297.5528869628906
12413,301.3740234375
12414,319.3599853515625
12415,371.2328186035156
12416,351.9577941894531
12417,406.189453125
12418,389.0553894042969
12419,361.4912414550781
12420,310.2679443359375
12421,333.287841796875
12422,316.65460205078125
12423,268.1932678222656
12424,186.7809295654297
12425,203.2686309814453
12426,214.249755859375
12427,240.3471221923828
12428,248.36468505859375
12429,238.3106231689453
12430,246.62908935546875
12431,232.4397735595703
12432,248.110107421875
12433,205.8141632080078
12434,193.21290588378906
12435,200.2557830810547
12436,216.411376953125
12437,242.2503204345703
12438,319.5633544921875
12439,312.845703125
12440,315.8310241699219
12441,336.6208190917969
12442,270.8373107910156
12443,259.6249694824219
12444,288.6607971191406
12445,262.7815246582031
12446,258.3782958984375
12447,246.7991485595703
12448,247.583984375
12449,285.16253662109375
12450,300.0929870605469
12451,303.1213073730469
12452,266.6357116699219
12453,253.0895233154297
12454,270.3451843261719
12455,286.16058349609375
12456,269.5957336425781
12457,272.0282287597656
12458,271.0307312011719
12459,239.69740295410156
12460,255.93109130859375
12461,256.7666015625
12462,254.39599609375
12463,267.2976379394531
12464,267.2839660644531
12465,251.77284240722656
12466,245.9912567138672
12467,242.4278564453125
12468,247.0651397705078
12469,231.42930603027344
12470,234.9586944580078
12471,223.3745574951172
12472,219.6895294189453
12473,227.7624053955078
12474,231.2501678466797
12475,207.9899139404297
12476,183.5150604248047
12477,190.8369598388672
12478,217.5987091064453
12479,220.57164001464844
12480,220.1628875732422
12481,223.79335021972656
12482,297.3401794433594
12483,287.7379150390625
12484,225.12168884277344
12485,209.9512939453125
12486,238.65061950683594
12487,225.9249267578125
12488,189.9658966064453
12489,186.08721923828125
12490,204.4399871826172
12491,166.674560546875
12492,149.63072204589844
12493,146.2933807373047
12494,149.0810089111328
12495,161.4291534423828
12496,150.17588806152344
12497,147.70269775390625
12498,156.5124969482422
12499,161.506591796875
12500,150.34605407714844
12501,145.49404907226562
12502,199.00311279296875
12503,259.7365417480469
12504,257.285400390625
12505,265.7868957519531
12506,239.2516632080078
12507,244.7456817626953
12508,247.6427764892578
12509,261.0856018066406
12510,246.2560577392578
12511,238.5705108642578
12512,232.86956787109375
12513,239.30584716796875
12514,233.1818389892578
12515,510.8255310058594
12516,773.0709838867188
12517,901.2288208007812
12518,1027.7164306640625
12519,1062.580322265625
12520,1047.4017333984375
12521,1090.4837646484375
