anchor,mse
12222,1291.87939453125
12223,1424.7562255859375
12224,1090.4556884765625
12225,947.8792114257812
12226,938.4348754882812
12227,1067.740966796875
12228,1147.3065185546875
12229,971.28564453125
12230,1021.0426635742188
12231,1212.8837890625
12232,1456.1527099609375
12233,1411.2421875
12234,1091.0130615234375
12235,1304.7261962890625
12236,1236.9073486328125
12237,1030.4952392578125
12238,1093.64794921875
12239,1123.79150390625
12240,1166.5784912109375
12241,1019.1941528320312
12242,1100.831787109375
12243,1112.2518310546875
12244,976.6099243164062
12245,990.478271484375
12246,952.3659057617188
12247,982.5778198242188
12248,1029.4801025390625
12249,1020.0574340820312
12250,1155.3660888671875
12251,1218.671875
12252,1143.2047119140625
12253,1085.0328369140625
12254,1128.0367431640625
12255,1167.9405517578125
12256,1321.501953125
12257,1031.21728515625
12258,1046.9342041015625
12259,1030.3709716796875
12260,1073.820556640625
12261,1164.4012451171875
12262,1226.8345947265625
12263,1154.51025390625
12264,1375.71728515625
12265,1523.8294677734375
12266,1343.2144775390625
12267,1332.5107421875
12268,1383.7991943359375
12269,1505.7857666015625
12270,1416.3265380859375
12271,1407.328125
12272,1425.2105712890625
12273,1411.3115234375
12274,1423.1939697265625
12275,1496.22705078125
12276,1481.2039794921875
12277,1585.5458984375
12278,1579.6336669921875
12279,1481.1380615234375
12280,1409.2484130859375
12281,1369.3348388671875
12282,1352.89599609375
12283,1253.1270751953125
12284,1284.5228271484375
12285,1305.2718505859375
12286,1438.2503662109375
12287,1445.1734619140625
12288,1365.814453125
12289,1307.4200439453125
12290,1241.7857666015625
12291,1275.7962646484375
12292,1326.913818359375
12293,1395.3192138671875
12294,1451.9356689453125
12295,1452.1875
12296,1549.9813232421875
12297,1715.3118896484375
12298,1950.39208984375
12299,1962.7744140625
12300,1762.982421875
12301,1961.8480224609375
12302,2024.3209228515625
12303,1951.92626953125
12304,1625.94921875
12305,1762.9940185546875
12306,1823.9356689453125
12307,1794.7017822265625
12308,1750.16845703125
12309,1573.7545166015625
12310,1524.3809814453125
12311,1611.2174072265625
12312,2192.339111328125
12313,2368.156494140625
12314,2187.683837890625
12315,1156.4200439453125
12316,728.7268676757812
12317,609.1686401367188
12318,573.1146850585938
12319,506.5438537597656
12320,535.3219604492188
12321,690.6360473632812
12322,726.4078979492188
12323,708.7453002929688
12324,531.619140625
12325,376.4737548828125
12326,297.6484680175781
12327,217.9940643310547
12328,190.70684814453125
12329,187.2381591796875
12330,185.5856475830078
12331,200.7477264404297
12332,194.3207550048828
12333,215.5012664794922
12334,218.1033477783203
12335,299.2203674316406
12336,303.5139465332031
12337,324.8072204589844
12338,325.0946350097656
12339,321.68157958984375
12340,324.8298645019531
12341,288.288818359375
12342,330.046875
12343,373.6971130371094
12344,262.500244140625
12345,350.9671325683594
12346,300.8543701171875
12347,339.8126525878906
12348,347.643798828125
12349,393.653076171875
12350,456.7069396972656
12351,487.6351318359375
12352,511.4073486328125
12353,507.895263671875
12354,591.0630493164062
12355,505.5655212402344
12356,534.5344848632812
12357,559.8381958007812
12358,443.198486328125
12359,408.3528747558594
12360,425.58740234375
12361,363.8490905761719
12362,348.7777404785156
12363,365.7686462402344
12364,351.6431579589844
12365,319.8092956542969
12366,319.9976501464844
